"";"SERCODIGOTROLL";"QtdConsultas";"Posicao";"SERSTATUS";"FNTID";"TEMID";"SERNOME_P";"SERTIPO";"SERDESCRICAO_P";"SERLIBERADA";"SERPRIVATIVA";"SERPRAZOATUALIZACAO";"SERINDICADORIPEA";"SERHISTORICA";"SERHISTORICO";"SERINDGER";"CATID";"BANCO";"COND_EXIB";"GRANDE_TEMA"
"1";"GAC12_TCERXTS212";NA;NA;"A";407;7;"Taxa de câmbio - efetiva real - produção florestal (média 2010 = 100)";"N";"Taxa de câmbio - efetiva real - setor: produção florestal (média 2010 = 100)";1;0;120;1;0;"Incluída em 31/março/2017.";NA;0;"GAC12";"Internet";"Macro"
"2";"GAC12_TCERXTS312";NA;NA;"A";407;7;"Taxa de câmbio - efetiva real - pesca e aqüicultura (média 2010 = 100)";"N";"Taxa de câmbio - efetiva real - setor: pesca e aqüicultura (média 2010 = 100)";1;0;120;1;0;"Incluída em 31/março/2017.";NA;0;"GAC12";"Internet";"Macro"
"3";"GAC12_TCERXTS1812";NA;NA;"A";407;7;"Taxa de câmbio - efetiva real - impressão e reprodução de gravações (média 2010 = 100)";"N";"Taxa de câmbio - efetiva real - setor: impressão e reprodução de gravações (média 2010 = 100)";1;0;120;1;0;"Incluída em 31/março/2017.";NA;0;"GAC12";"Internet";"Macro"
"4";"GAC12_CAIEX12";NA;NA;"A";407;8;"Consumo aparente - indústria extrativa - índice encadeado (média 2012 = 100)";"N";"Consumo aparente - indústria extrativa - índice encadeado (média 2012 = 100)";1;0;120;1;0;"Incluída em 20/set/2017.";NA;0;"GAC12";"Internet";"Macro"
"5";"GAC12_CAIEXDESSAZ12";NA;NA;"A";407;8;"Consumo aparente - indústria extrativa - índice encadeado - dessaz (média 2002= 100)";"N";"Consumo aparente - indústria extrativa - índice encadeado - dessaz (média 2002= 100)";1;0;120;1;0;"Incluída em 20/set/2017.";NA;0;"GAC12";"Internet";"Macro"
"6";"GAC12_INDFBCF12";NA;NA;"A";407;8;"Indicador IPEA de FBCF - índice encadeado (média1995 = 100)";"N";"Indicador IPEA de FBCF - índice encadeado (média1995 = 100)";1;0;120;1;0;"Incluída em 290/set/2017.";NA;0;"GAC12";"Internet";"Macro"
"7";"GAC12_INDFBCFCC12";NA;NA;"A";407;8;"Indicador IPEA de FBCF - construção civil - índice encadeado (média1995 = 100)";"N";"Indicador IPEA de FBCF - construção civil - índice encadeado (média1995 = 100)";1;0;120;1;0;"Incluída em 290/set/2017.";NA;0;"GAC12";"Internet";"Macro"
"8";"GAC12_INDFBCFDESSAZ12";NA;NA;"A";407;8;"Indicador IPEA de FBCF - índice encadeado - dessaz (média 1995 = 100)";"N";"Indicador IPEA de FBCF - índice encadeado - dessaz (média 1995 = 100)";1;0;120;1;0;"Incluída em 290/set/2017.";NA;0;"GAC12";"Internet";"Macro"
"9";"GAC12_INDFBCFCCDESSAZ12";NA;NA;"A";407;8;"Indicador IPEA de FBCF - construção civil - índice encadeado - dessaz (média 1995= 100)";"N";"Indicador IPEA de FBCF - construção civil - índice encadeado - dessaz (média 1995= 100)";1;0;120;1;0;"Incluída em 290/set/2017.";NA;0;"GAC12";"Internet";"Macro"
"10";"DIMAC_INF1";NA;NA;"I";407;9;"Taxa mensal de Inflação por faixa de renda  - Renda muito baixa";"N";"Taxa mensal de Inflação por faixa de renda  - Renda muito baixa";0;1;360;1;0;NA;NA;0;"DIMAC";"Oculta";"Macro"
