BANCO;SERCODIGOTROLL;SERSTATUS;SERNOME_P;SERDESCRICAO_P;SERLIBERADA;SERPRIVATIVA;TEMID;FNTID;SERTIPO;SERINDGER
GAC12;GAC12_TCERXTS212;A;Taxa de câmbio - efetiva real - produção florestal (média 2010 = 100);Taxa de câmbio - efetiva real - setor: produção florestal (média 2010 = 100);1;0;Câmbio;IPEA;N;NA
GAC12;GAC12_TCERXTS312;A;Taxa de câmbio - efetiva real - pesca e aqüicultura (média 2010 = 100);Taxa de câmbio - efetiva real - setor: pesca e aqüicultura (média 2010 = 100);1;0;Câmbio;IPEA;N;NA
GAC12;GAC12_TCERXTS1812;A;Taxa de câmbio - efetiva real - impressão e reprodução de gravações (média 2010 = 100);Taxa de câmbio - efetiva real - setor: impressão e reprodução de gravações (média 2010 = 100);1;0;Câmbio;IPEA;N;NA
GAC12;GAC12_CAIEX12;A;Consumo aparente - indústria extrativa - índice encadeado (média 2012 = 100);Consumo aparente - indústria extrativa - índice encadeado (média 2012 = 100);1;0;Contas nacionais;IPEA;N;NA
GAC12;GAC12_CAIEXDESSAZ12;A;Consumo aparente - indústria extrativa - índice encadeado - dessaz (média 2002= 100);Consumo aparente - indústria extrativa - índice encadeado - dessaz (média 2002= 100);1;0;Contas nacionais;IPEA;N;NA
GAC12;GAC12_INDFBCF12;A;Indicador IPEA de FBCF - índice encadeado (média1995 = 100);Indicador IPEA de FBCF - índice encadeado (média1995 = 100);1;0;Contas nacionais;IPEA;N;NA
GAC12;GAC12_INDFBCFCC12;A;Indicador IPEA de FBCF - construção civil - índice encadeado (média1995 = 100);Indicador IPEA de FBCF - construção civil - índice encadeado (média1995 = 100);1;0;Contas nacionais;IPEA;N;NA
GAC12;GAC12_INDFBCFDESSAZ12;A;Indicador IPEA de FBCF - índice encadeado - dessaz (média 1995 = 100);Indicador IPEA de FBCF - índice encadeado - dessaz (média 1995 = 100);1;0;Contas nacionais;IPEA;N;NA
GAC12;GAC12_INDFBCFCCDESSAZ12;A;Indicador IPEA de FBCF - construção civil - índice encadeado - dessaz (média 1995= 100);Indicador IPEA de FBCF - construção civil - índice encadeado - dessaz (média 1995= 100);1;0;Contas nacionais;IPEA;N;NA
BM12;BM12_RES12;A;Reservas internacionais;Reservas internacionais;1;0;Balanço de pagamentos;Bacen/Not. Imp./Set. Ext.;N;NA
ANFAVE12;ANFAVE12_LICVEN12;A;Vendas de autoveículos no mercado interno;Vendas de autoveículos no mercado interno;1;0;Produção;Anfavea;N;NA
FUNCEX12;FUNCEX12_MDPBCDGCE12;A;Importações - bens de consumo duráveis - preços - índice (média 2006 = 100) (série nova);Índice de preços das importações - grandes categorias econômicas - bens de consumo duráveis (média 2006 = 100);1;0;Comércio exterior;Funcex;N;NA
FUNCEX12;FUNCEX12_MDPBCNDGCE12;A;Importações - bens de consumo não duráveis - preços - índice (média 2006 = 100) (série nova);Índice de preços das importações  - grandes categorias econômicas - bens de consumo não duráveis (média 2006 = 100);1;0;Comércio exterior;Funcex;N;NA
