"";"SERCODIGOTROLL";"SERSTATUS";"FNTID";"TEMID";"SERNOME_P";"SERDESCRICAO_P";"SERLIBERADA";"SERPRIVATIVA";"SERPRAZOATUALIZACAO";"SERINDICADORIPEA";"SERHISTORICA";"SERHISTORICO";"SERINDGER";"BANCO";"COND_EXIB";"GRANDE_TEMA"
"1";"GAC12_TCERXTS212";"Ativa";"IPEA";"Câmbio";"Taxa de câmbio - efetiva real - produção florestal (média 2010 = 100)";"Taxa de câmbio - efetiva real - setor: produção florestal (média 2010 = 100)";"Não oculta";"Internet";120;1;0;"Incluída em 31/março/2017.";NA;"GAC12";"Internet";"Macro"
"2";"GAC12_TCERXTS312";"Ativa";"IPEA";"Câmbio";"Taxa de câmbio - efetiva real - pesca e aqüicultura (média 2010 = 100)";"Taxa de câmbio - efetiva real - setor: pesca e aqüicultura (média 2010 = 100)";"Não oculta";"Internet";120;1;0;"Incluída em 31/março/2017.";NA;"GAC12";"Internet";"Macro"
"3";"GAC12_TCERXTS1812";"Ativa";"IPEA";"Câmbio";"Taxa de câmbio - efetiva real - impressão e reprodução de gravações (média 2010 = 100)";"Taxa de câmbio - efetiva real - setor: impressão e reprodução de gravações (média 2010 = 100)";"Não oculta";"Internet";120;1;0;"Incluída em 31/março/2017.";NA;"GAC12";"Internet";"Macro"
"4";"GAC12_CAIEX12";"Ativa";"IPEA";"Contas nacionais";"Consumo aparente - indústria extrativa - índice encadeado (média 2012 = 100)";"Consumo aparente - indústria extrativa - índice encadeado (média 2012 = 100)";"Não oculta";"Internet";120;1;0;"Incluída em 20/set/2017.";NA;"GAC12";"Internet";"Macro"
"5";"GAC12_CAIEXDESSAZ12";"Ativa";"IPEA";"Contas nacionais";"Consumo aparente - indústria extrativa - índice encadeado - dessaz (média 2002= 100)";"Consumo aparente - indústria extrativa - índice encadeado - dessaz (média 2002= 100)";"Não oculta";"Internet";120;1;0;"Incluída em 20/set/2017.";NA;"GAC12";"Internet";"Macro"
"6";"GAC12_INDFBCF12";"Ativa";"IPEA";"Contas nacionais";"Indicador IPEA de FBCF - índice encadeado (média1995 = 100)";"Indicador IPEA de FBCF - índice encadeado (média1995 = 100)";"Não oculta";"Internet";120;1;0;"Incluída em 290/set/2017.";NA;"GAC12";"Internet";"Macro"
"7";"GAC12_INDFBCFCC12";"Ativa";"IPEA";"Contas nacionais";"Indicador IPEA de FBCF - construção civil - índice encadeado (média1995 = 100)";"Indicador IPEA de FBCF - construção civil - índice encadeado (média1995 = 100)";"Não oculta";"Internet";120;1;0;"Incluída em 290/set/2017.";NA;"GAC12";"Internet";"Macro"
"8";"GAC12_INDFBCFDESSAZ12";"Ativa";"IPEA";"Contas nacionais";"Indicador IPEA de FBCF - índice encadeado - dessaz (média 1995 = 100)";"Indicador IPEA de FBCF - índice encadeado - dessaz (média 1995 = 100)";"Não oculta";"Internet";120;1;0;"Incluída em 290/set/2017.";NA;"GAC12";"Internet";"Macro"
"9";"GAC12_INDFBCFCCDESSAZ12";"Ativa";"IPEA";"Contas nacionais";"Indicador IPEA de FBCF - construção civil - índice encadeado - dessaz (média 1995= 100)";"Indicador IPEA de FBCF - construção civil - índice encadeado - dessaz (média 1995= 100)";"Não oculta";"Internet";120;1;0;"Incluída em 290/set/2017.";NA;"GAC12";"Internet";"Macro"
"10";"DIMAC_INF1";"Inativa";"IPEA";"Preços";"Taxa mensal de Inflação por faixa de renda  - Renda muito baixa";"Taxa mensal de Inflação por faixa de renda  - Renda muito baixa";"Oculta";"Intranet";360;1;0;NA;NA;"DIMAC";"Oculta";"Macro"
"11";"DIMAC_INF2";"Inativa";"IPEA";"Preços";"Taxa mensal de Inflação por faixa de renda  - Renda baixa";"Taxa mensal de Inflação por faixa de renda  - Renda baixa";"Oculta";"Intranet";360;1;0;NA;NA;"DIMAC";"Oculta";"Macro"
"12";"DIMAC_INF3";"Inativa";"IPEA";"Preços";"Taxa mensal de Inflação por faixa de renda  - Renda média-baixa";"Taxa mensal de Inflação por faixa de renda  - Renda média-baixa";"Oculta";"Intranet";360;1;0;NA;NA;"DIMAC";"Oculta";"Macro"
"13";"DIMAC_INF4";"Inativa";"IPEA";"Preços";"Taxa mensal de Inflação por faixa de renda  - Renda média";"Taxa mensal de Inflação por faixa de renda  - Renda média";"Oculta";"Intranet";360;1;0;NA;NA;"DIMAC";"Oculta";"Macro"
"14";"DIMAC_INF5";"Inativa";"IPEA";"Preços";"Taxa mensal de Inflação por faixa de renda  - Renda média-alta";"Taxa mensal de Inflação por faixa de renda  - Renda média-alta";"Oculta";"Intranet";360;1;0;NA;NA;"DIMAC";"Oculta";"Macro"
"15";"DIMAC_INF6";"Inativa";"IPEA";"Preços";"Taxa mensal de Inflação por faixa de renda  - Renda alta";"Taxa mensal de Inflação por faixa de renda  - Renda alta";"Oculta";"Intranet";360;1;0;NA;NA;"DIMAC";"Oculta";"Macro"
"16";"DIMAC_ICTI1";"Inativa";"IPEA";"Preços";"Índice de Custos da Tecnologia da Informação (ICTI) - índice encadeado (Dez/2012 = 100)";"Índice de Custos da Tecnologia da Informação (ICTI) - índice encadeado (Dez/2012 = 100)";"Não oculta";"Internet";45;1;0;"Incluída em 10/abr/2018.";NA;"DIMAC";"Internet";"Macro"
"17";"DIMAC_ICTI2";"Inativa";"IPEA";"Preços";"Índice de Custos da Tecnologia da Informação (ICTI) - variação no mês";"Índice de Custos da Tecnologia da Informação (ICTI) - variação no mês";"Não oculta";"Internet";45;1;0;"Incluída em 10/abr/2018.";NA;"DIMAC";"Internet";"Macro"
"18";"DIMAC_ICTI3";"Inativa";"IPEA";"Preços";"Índice de Custos da Tecnologia da Informação (ICTI) - variação em 12 meses";"Índice de Custos da Tecnologia da Informação (ICTI) - variação em 12 meses";"Não oculta";"Internet";45;1;0;"Incluída em 10/abr/2018.";NA;"DIMAC";"Internet";"Macro"
"19";"BM12_RES12";"Ativa";"Bacen/Not. Imp./Set. Ext.";"Balanço de pagamentos";"Reservas internacionais";"Reservas internacionais";"Não oculta";"Internet";25;0;0;NA;NA;"BM12";"Internet";"Macro"
"20";"FENABRAVE12_ESTAUTO12";"Inativa";"FENABRAVE";"Consumo e vendas";"Estoques de veículos nas concessionárias - Automóveis - qde.";"Estoques de veículos nas concessionárias - Automóveis - qde.";"Não oculta";"Internet";30;NA;NA;NA;NA;"FENABRAVE12";"Internet";"Macro"
"21";"FENABRAVE12_ESTCOMLEVE12";"Inativa";"FENABRAVE";"Consumo e vendas";"Estoques de veículos nas concessionárias - Comerciais leves - qde.";"Estoques de veículos nas concessionárias - Comerciais leves - qde.";"Não oculta";"Internet";30;NA;NA;NA;NA;"FENABRAVE12";"Internet";"Macro"
"22";"FENABRAVE12_ESTCAMIN12";"Inativa";"FENABRAVE";"Consumo e vendas";"Estoques de veículos nas concessionárias - Caminhões - qde.";"Estoques de veículos nas concessionárias - Caminhões - qde.";"Não oculta";"Internet";30;NA;NA;NA;NA;"FENABRAVE12";"Internet";"Macro"
"23";"FENABRAVE12_ESTONIBUS12";"Inativa";"FENABRAVE";"Consumo e vendas";"Estoques de veículos nas concessionárias - Ônibus - qde.";"Estoques de veículos nas concessionárias - Ônibus - qde.";"Não oculta";"Internet";30;NA;NA;NA;NA;"FENABRAVE12";"Internet";"Macro"
"24";"FENABRAVE12_ESTVETOT12";"Inativa";"FENABRAVE";"Consumo e vendas";"Estoques de veículos nas concessionárias - Total - qde.";"Estoques de veículos nas concessionárias - Total - qde.";"Não oculta";"Internet";30;NA;NA;NA;NA;"FENABRAVE12";"Internet";"Macro"
"25";"ANFAVE12_LICVEN12";"Ativa";"Anfavea";"Produção";"Vendas de autoveículos no mercado interno";"Vendas de autoveículos no mercado interno";"Não oculta";"Internet";30;NA;NA;NA;NA;"ANFAVE12";"Internet";"Macro"
"26";"FUNCEX12_MDPBCDGCE12";"Ativa";"Funcex";"Comércio exterior";"Importações - bens de consumo duráveis - preços - índice (média 2006 = 100) (série nova)";"Índice de preços das importações - grandes categorias econômicas - bens de consumo duráveis (média 2006 = 100)";"Não oculta";"Internet";51;0;0;"Criada em 19/07/2016.";NA;"FUNCEX12";"Internet";"Macro"
"27";"FUNCEX12_MDPBCNDGCE12";"Ativa";"Funcex";"Comércio exterior";"Importações - bens de consumo não duráveis - preços - índice (média 2006 = 100) (série nova)";"Índice de preços das importações  - grandes categorias econômicas - bens de consumo não duráveis (média 2006 = 100)";"Não oculta";"Internet";51;0;0;"Criada em 19/07/2016.";NA;"FUNCEX12";"Internet";"Macro"
"28";"FUNCEX12_MDPBIGCE12";"Ativa";"Funcex";"Comércio exterior";"Importações - bens intermediários - preços - índice (média 2006 = 100) (série nova)";"Índice de preços das importações  - grandes categorias econômicas - bens intermediários (média 2006 = 100)";"Não oculta";"Internet";51;0;0;"Criada em 19/07/2016.";NA;"FUNCEX12";"Internet";"Macro"
