;SERCODIGOTROLL;FNTID;TEMID;PERID;SERNOME_P;SERDESCRICAO_P;BANCO;GRANDE_TEMA;Extração de dados;Link da fonte;Link no comentário (se houver)
10;FUNCEX_MDPBCD;Funcex;Comércio exterior;ANUAL;Importações - bens de consumo duráveis - preços - índice (média 2006 = 100);Índice de preços das importações por categoria de uso: bens de consumo duráveis (média 2006 = 100);FUNCEX;Macro;;;
11;FUNCEX_MDPBCND;Funcex;Comércio exterior;ANUAL;Importações - bens de consumo não duráveis - preços - índice (média 2006 = 100);Índice de preços das importações por categoria de uso: bens de consumo não duráveis (média 2006 = 100);FUNCEX;Macro;;;
12;FUNCEX_MDPBI;Funcex;Comércio exterior;ANUAL;Importações - bens intermediários - preços - índice (média 2006 = 100);Índice de preços das importações por categoria de uso: bens intermediários (média 2006 = 100);FUNCEX;Macro;;;
13;FUNCEX_MDPBK;Funcex;Comércio exterior;ANUAL;Importações - bens de capital - preços - índice (média 2006 = 100);Índice de preços das importações por categoria de uso: bens de capital (média 2006 = 100);FUNCEX;Macro;;;
14;FUNCEX_MDPCOMB;Funcex;Comércio exterior;ANUAL;Importações - combustíveis - preços - índice (média 2006 = 100);Índice de preços das importações por categoria de uso: combustíveis (média 2006 = 100);FUNCEX;Macro;;;
15;FUNCEX_MDPT;Funcex;Comércio exterior;ANUAL;Importações - preços - índice (média 2006 = 100);Índice de preços das importações: total geral (média 2006 = 100);FUNCEX;Macro;;;
16;FUNCEX_MDQBCD;Funcex;Comércio exterior;ANUAL;Importações - bens de consumo duráveis - quantum - índice (média 2006 = 100);Índice de quantum das importações por categoria de uso: bens de consumo duráveis (média 2006 = 100);FUNCEX;Macro;;;
17;FUNCEX_MDQBCND;Funcex;Comércio exterior;ANUAL;Importações - bens de consumo não duráveis - quantum - índice (média 2006 = 100);Índice de quantum das importações por categoria de uso: bens de consumo não duráveis (média 2006 = 100);FUNCEX;Macro;;;
18;FUNCEX_MDQBI;Funcex;Comércio exterior;ANUAL;Importações - bens intermediários - quantum - índice (média 2006 = 100);Índice de quantum das importações por categoria de uso: bens intermediários (média 2006 = 100);FUNCEX;Macro;;;
19;FUNCEX_MDQBK;Funcex;Comércio exterior;ANUAL;Importações - bens de capital - quantum - índice (média 2006 = 100);Índice de quantum das importações por categoria de uso: bens de capital (média 2006 = 100);FUNCEX;Macro;;;
20;FUNCEX_MDQCOMB;Funcex;Comércio exterior;ANUAL;Importações - combustíveis - quantum - índice (média 2006 = 100);Índice de quantum das importações por categoria de uso: combustíveis (média 2006 = 100);FUNCEX;Macro;;;
21;FUNCEX_MDQT;Funcex;Comércio exterior;ANUAL;Importações - quantum - índice (média 2006 = 100);Índice de quantum das importações: total geral (média 2006 = 100);FUNCEX;Macro;;;
22;FUNCEX_MDVBCD;Funcex;Comércio exterior;ANUAL;Importações - bens de consumo duráveis - (FOB);Valor FOB das importações por categoria de uso: bens de consumo duráveis;FUNCEX;Macro;;;
23;FUNCEX_MDVBCND;Funcex;Comércio exterior;ANUAL;Importações - bens de consumo não duráveis - (FOB);Valor FOB das importações por categoria de uso: bens de consumo não duráveis;FUNCEX;Macro;;;
24;FUNCEX_MDVBI;Funcex;Comércio exterior;ANUAL;Importações - bens intermediários - (FOB);Valor FOB das importações por categoria de uso: bens intermediários;FUNCEX;Macro;;;
25;FUNCEX_MDVBK;Funcex;Comércio exterior;ANUAL;Importações - bens de capital - (FOB);Valor FOB das importações por categoria de uso: bens de capital;FUNCEX;Macro;;;
26;FUNCEX_MDVCOMB;Funcex;Comércio exterior;ANUAL;Importações - combustíveis - (FOB);Valor FOB das importações por categoria de uso: combustíveis;FUNCEX;Macro;;;
27;FUNCEX_MDVT;Funcex;Comércio exterior;ANUAL;Importações - (FOB);Valor FOB das importações: total geral;FUNCEX;Macro;;;
28;FUNCEX_XPB;Funcex;Comércio exterior;ANUAL;Exportações - produtos básicos - preços - índice (média 2006 = 100);Índice de preços das exportações por classe de produto: produtos básicos (média 2006 = 100);FUNCEX;Macro;;;
29;FUNCEX_XPBCD;Funcex;Comércio exterior;ANUAL;Exportações - bens de consumo duráveis - preços - índice (média 2006 = 100);Índice de preços das exportações por categoria de uso: bens de consumo duráveis (média 2006 = 100);FUNCEX;Macro;;;
30;FUNCEX_XPBCND;Funcex;Comércio exterior;ANUAL;Exportações - bens de consumo não duráveis - preços - índice (média 2006 = 100);Índice de preços das exportações por categoria de uso: bens de consumo não duráveis (média 2006 = 100);FUNCEX;Macro;;;
31;FUNCEX_XPBI;Funcex;Comércio exterior;ANUAL;Exportações - bens intermediários - preços - índice (média 2006 = 100);Índice de preços das exportações por categoria de uso: bens intermediários (média 2006 = 100);FUNCEX;Macro;;;
32;FUNCEX_XPBK;Funcex;Comércio exterior;ANUAL;Exportações - bens de capital - preços - índice (média 2006 = 100);Índice de preços das exportações por categoria de uso: bens de capital (média 2006 = 100);FUNCEX;Macro;;;
33;FUNCEX_XPCOMB;Funcex;Comércio exterior;ANUAL;Exportações - combustíveis - preços - índice (média 2006 = 100);Índice de preços das exportações por categoria de uso: combustíveis (média 2006 = 100);FUNCEX;Macro;;;
34;FUNCEX_XPM;Funcex;Comércio exterior;ANUAL;Exportações - produtos manufaturados - preços - índice (média 2006 = 100);Índice de preços das exportações por classe de produto: produtos manufaturados (média 2006 = 100);FUNCEX;Macro;;;
35;FUNCEX_XPS;Funcex;Comércio exterior;ANUAL;Exportações - produtos semi-manufaturados - preços - índice (média 2006 = 100);Índice de preços das exportações por classe de produto: produtos semi-manufaturados (média 2006 = 100);FUNCEX;Macro;;;
